Item_Description,Amount,Traffic_Source,Session_Duration
Notebook,20,Direct,"3,470"
Google Hoodie,124,Direct,401
Greeting Cards,6,Paid Search,"2,608"
,,,"2,130"
Lanyard,6,Direct,"3,517"
Google Stickers,5,Paid Search,706
Google Hoodie,124,Referral,"3,443"
Google Stickers,5,Paid Search,"1,728"
Google Stickers,5,Social Media,"1,227"
Google Water Bottle,10,Social Media,"1,198"
Google Stickers,5,Direct,"1,727"
Google Hoodie,124,Paid Search,328
Google Stickers,5,Direct,"2,333"
Google Stickers,5,Social Media,775
Google Stickers,5,Referral,"2,099"
Canvas Tote,18,Paid Search,"3,416"
Google Stickers,5,Referral,"2,375"
Google Hoodie,124,Social Media,"3,034"
Google Hoodie,124,Direct,"1,909"
Backpack,125,Paid Search,"1,508"
Android T-Shirt,20,Social Media,"2,926"
Google Stickers,5,Direct,302
Android T-Shirt,20,Social Media,"1,413"
Notebook,20,Social Media,"3,254"
YouTube Cap,15,Social Media,"3,579"
Google Stickers,5,Direct,"2,354"
Greeting Cards,6,Paid Search,"1,939"
Google Stickers,5,Referral,"2,747"
Lanyard,6,Direct,"1,380"
Lanyard,6,Paid Search,778
YouTube Cap,15,Social Media,"2,687"
Google Stickers,5,Direct,"3,431"
Google Hoodie,124,Social Media,793
Notebook,20,Organic Search,"1,057"
Google Stickers,5,Direct,810
Google Water Bottle,10,Referral,397
Google Stickers,5,Organic Search,"2,146"
Google Stickers,5,Social Media,122
Google Stickers,5,Direct,"1,710"
Google Stickers,5,Referral,"3,529"
Google Stickers,5,Referral,"2,136"
Google Stickers,5,Referral,"3,272"
Google Stickers,5,Organic Search,476
Google Stickers,5,Direct,"2,152"
Google Hoodie,124,Paid Search,"3,443"
Google Stickers,5,Paid Search,"1,388"
Google Stickers,5,Paid Search,"2,688"
Google Stickers,5,Organic Search,"1,363"
Lanyard,6,Referral,745
Google Stickers,5,Referral,810
Lanyard,6,Referral,"3,446"
Notebook,20,Organic Search,"2,462"
Google Hoodie,124,Paid Search,"3,501"
Lanyard,6,Direct,942
Lanyard,6,Referral,"3,093"
YouTube Cap,15,Direct,"1,144"
Google Stickers,5,Paid Search,"2,312"
Google Stickers,5,Organic Search,"1,733"
Google Stickers,5,Social Media,"2,333"
Greeting Cards,6,Direct,"1,648"
Google Stickers,5,Paid Search,746
Lanyard,6,Social Media,"2,049"
Android T-Shirt,20,Referral,477
Backpack,125,Paid Search,"2,100"
Greeting Cards,6,Referral,333
Google Water Bottle,10,Organic Search,"1,232"
Google Water Bottle,10,Social Media,"3,153"
Greeting Cards,6,Referral,"2,034"
Google Water Bottle,10,Paid Search,"2,532"
Google Stickers,5,Referral,"2,461"
Google Stickers,5,Referral,"1,323"
Canvas Tote,18,Referral,785
